,0,1,2
0,0.0,0.0,0.0
1,478.18677,270.64896,0.8000431
2,501.67984,266.83102,0.7861588
3,505.57257,286.3162,0.41359508
4,0.0,0.0,0.0
5,456.05368,273.2805,0.8117736
6,441.6109,307.16888,0.57765806
7,0.0,0.0,0.0
8,474.28546,338.56528,0.84464717
9,486.00998,338.5621,0.8058536
10,487.3599,386.83734,0.80624306
11,496.49228,442.96634,0.85596454
12,462.47903,338.57516,0.73071086
13,463.8085,392.03394,0.8525636
14,465.17615,448.15674,0.80368555
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,487.3206,244.56877,0.23870906
18,465.14783,244.56363,0.83356506
19,446.87817,448.18292,0.60361695
20,449.4649,452.0921,0.68886197
21,472.9326,454.7079,0.8357074
22,499.0703,444.2926,0.49687853
23,505.62814,444.31174,0.5970047
24,496.49673,452.05164,0.81779194
