,0,1,2
0,0.0,0.0,0.0
1,420.74805,305.93616,0.86281455
2,450.77127,308.57712,0.80427563
3,472.98636,350.2322,0.90337205
4,448.1978,369.90717,0.6954144
5,389.44162,299.39224,0.8494198
6,359.4769,329.4476,0.94136876
7,381.65796,354.1961,0.83384556
8,412.92,382.90024,0.7830521
9,431.22998,384.21207,0.7176275
10,420.77023,445.60983,0.7961822
11,0.0,0.0,0.0
12,395.96503,381.59375,0.7037386
13,385.51373,435.11887,0.7698849
14,373.78723,476.9351,0.22625719
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,435.1544,283.6951,0.67381614
18,411.601,278.5189,0.9069159
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,372.47894,476.94193,0.10687941
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
