,0,1,2
0,328.09854,219.74374,0.75993997
1,322.8913,217.18504,0.83385366
2,298.0271,223.68246,0.88920206
3,277.15598,251.09929,0.8659526
4,298.0954,273.2812,0.8208382
5,349.0036,213.27133,0.92912495
6,367.2617,235.50533,0.87097794
7,368.5079,261.5433,0.8306594
8,328.06213,287.59143,0.8671685
9,312.4599,287.64343,0.7831066
10,329.36472,338.5154,0.8603965
11,338.54834,392.0217,0.77205604
12,339.85022,286.31232,0.8655453
13,343.76804,334.6204,0.7760526
14,346.38208,372.48013,0.6385402
15,324.1602,214.5159,0.68750006
16,330.74908,214.51418,0.6317267
17,316.32727,204.15277,0.70270216
18,338.60074,205.45938,0.25160712
19,359.3654,381.63797,0.30262464
20,359.3871,380.30585,0.3873434
21,347.64966,375.1017,0.35746372
22,341.14755,410.299,0.6913586
23,335.90112,409.02322,0.6376724
24,339.8199,398.5772,0.56923795
